n_CF,n_CT,n_TC,n_BW,n_DC,n_SC,n_NC,n_paragraphs,paragraph_0p,paragraph_25p,paragraph_75p,paragraph_100p,filename
5,1,0,0,3,5,30,43,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,Glimpse@Glimpse.xlsx
4,2,1,0,0,3,15,24,No categories identified.,No categories identified.,No categories identified.,No categories identified.,GoldenCheetah@GoldenCheetah.xlsx
0,0,0,0,0,4,4,7,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,GoogleChrome@chrome-app-samples.xlsx
5,1,0,3,11,27,34,80,No categories identified.,DC - Deal with the code,No categories identified.,No categories identified.,GoogleChrome@lighthouse.xlsx
1,0,0,4,4,21,12,41,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,GoogleChrome@rendertron.xlsx
6,0,0,0,0,4,4,13,No categories identified.,SC - Submit the changes,CF - Contribution flow,CF - Contribution flow,GoogleChrome@workbox.xlsx
0,0,2,0,0,5,2,8,No categories identified.,SC - Submit the changes,SC - Submit the changes,TC - Talk to the community,GoogleChromeLabs@carlo.xlsx
1,0,0,4,12,45,16,77,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,GoogleChromeLabs@ndb.xlsx
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,GoogleChromeLabs@proxx.xlsx
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,GoogleChromeLabs@squoosh.xlsx
6,0,0,0,1,4,4,14,No categories identified.,SC - Submit the changes,CF - Contribution flow,CF - Contribution flow,GoogleCloudPlatform@continuous-deployment-on-kubernetes.xlsx
0,0,2,0,1,5,3,10,No categories identified.,DC - Deal with the code,SC - Submit the changes,TC - Talk to the community,GoogleCloudPlatform@microservices-demo.xlsx
7,0,0,2,0,5,7,20,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,GoogleCloudPlatform@python-docs-samples.xlsx
1,0,0,24,2,17,13,56,No categories identified.,SC - Submit the changes,BW - Build local workspace,No categories identified.,GoogleContainerTools@jib.xlsx
3,0,0,0,14,7,16,39,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,GrafiteInc@Builder.xlsx
0,0,0,1,2,10,4,16,No categories identified.,DC - Deal with the code,SC - Submit the changes,DC - Deal with the code,GrahamCampbell@Laravel-Markdown.xlsx
1,0,1,0,0,0,2,3,CF - Contribution flow,No categories identified.,No categories identified.,No categories identified.,Graylog2@graylog2-server.xlsx
2,0,0,1,8,14,33,57,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,HDInnovations@UNIT3D-Community-Edition.xlsx
1,0,0,0,0,1,17,18,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,HTBox@allReady.xlsx
2,0,1,0,1,4,2,9,No categories identified.,SC - Submit the changes,SC - Submit the changes,DC - Deal with the code,Hackplayers@evil-winrm.xlsx
1,0,0,0,5,6,12,23,SC - Submit the changes,SC - Submit the changes,No categories identified.,SC - Submit the changes,Haivision@srt.xlsx
0,0,0,0,3,2,12,16,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,HangfireIO@Hangfire.xlsx
4,0,2,2,5,32,20,64,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,Harvey-OS@harvey.xlsx
4,0,2,4,9,13,14,45,BW - Build local workspace,SC - Submit the changes,DC - Deal with the code,TC - Talk to the community,HearthSim@Hearthstone-Deck-Tracker.xlsx
0,0,0,2,0,2,6,9,BW - Build local workspace,BW - Build local workspace,No categories identified.,No categories identified.,Homebrew@brew.xlsx
3,0,0,0,2,6,7,17,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,Homebrew@homebrew-bundle.xlsx
1,0,0,6,10,8,33,57,No categories identified.,BW - Build local workspace,No categories identified.,BW - Build local workspace,Homebrew@homebrew-cask-fonts.xlsx
0,0,0,1,1,3,10,14,No categories identified.,SC - Submit the changes,BW - Build local workspace,No categories identified.,Homebrew@homebrew-cask-versions.xlsx
4,0,0,3,6,12,7,31,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,Homebrew@homebrew-cask.xlsx
0,0,0,3,2,13,11,28,BW - Build local workspace,DC - Deal with the code,SC - Submit the changes,No categories identified.,Homebrew@homebrew-core.xlsx
1,0,0,3,2,13,13,31,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,Homebrew@linuxbrew-core.xlsx
0,0,0,21,20,21,26,87,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.,Hopding@pdf-lib.xlsx
7,0,0,11,11,9,11,48,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.,HospitalRun@hospitalrun-frontend.xlsx
1,0,0,0,7,9,9,25,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,Humanizr@Humanizer.xlsx
1,0,0,0,3,21,18,42,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,IBM@kui.xlsx
6,1,0,11,17,98,61,193,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,Icinga@icinga2.xlsx
1,0,0,0,0,11,21,32,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,IdentityManager@IdentityManager.xlsx
1,0,1,0,1,13,30,45,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,IdentityServer@IdentityServer3.xlsx
2,0,0,0,0,6,13,20,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,IdentityServer@IdentityServer4.xlsx
3,0,0,0,1,4,6,13,No categories identified.,SC - Submit the changes,CF - Contribution flow,No categories identified.,ImageMagick@ImageMagick.xlsx
0,0,0,0,0,4,6,9,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,Indatus@dispatcher.xlsx
7,2,0,4,4,23,9,48,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,IntelRealSense@librealsense.xlsx
4,0,2,4,11,14,22,56,No categories identified.,DC - Deal with the code,BW - Build local workspace,No categories identified.,InvoicePlane@InvoicePlane.xlsx
1,0,7,1,0,2,9,19,No categories identified.,TC - Talk to the community,No categories identified.,No categories identified.,Ismaestro@angular9-example-app.xlsx
1,0,0,2,1,5,5,13,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,JMPerez@spotify-web-api-js.xlsx
0,0,0,0,2,5,5,11,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,JabbR@JabbR.xlsx
9,0,0,13,31,16,55,123,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,Jackett@Jackett.xlsx
1,0,0,0,1,0,1,2,No categories identified.,CF - Contribution flow,DC - Deal with the code,DC - Deal with the code,JakeWharton@ActionBarSherlock.xlsx
0,0,0,9,4,6,8,26,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,James-Yu@LaTeX-Workshop.xlsx
2,0,0,0,2,9,20,32,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,JamesNK@Newtonsoft.Json.xlsx
2,0,0,9,1,1,6,18,No categories identified.,No categories identified.,No categories identified.,BW - Build local workspace,JamieMason@ImageOptim-CLI.xlsx
8,0,0,10,4,43,6,70,No categories identified.,SC - Submit the changes,SC - Submit the changes,DC - Deal with the code,JanusGraph@janusgraph.xlsx
3,0,1,5,2,4,13,27,No categories identified.,CF - Contribution flow,DC - Deal with the code,BW - Build local workspace,JasonStein@Notepads.xlsx
3,1,1,5,14,8,24,55,No categories identified.,TC - Talk to the community,DC - Deal with the code,SC - Submit the changes,Jasonette@JASONETTE-iOS.xlsx
1,1,0,5,3,12,19,40,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,JasperFx@marten.xlsx
0,0,0,1,1,3,3,7,No categories identified.,SC - Submit the changes,BW - Build local workspace,No categories identified.,JedWatson@classnames.xlsx
3,0,0,1,1,5,3,12,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,JedWatson@react-select.xlsx
2,0,0,1,5,10,8,25,No categories identified.,SC - Submit the changes,No categories identified.,DC - Deal with the code,Jessecar96@SteamBot.xlsx
1,0,1,5,1,3,6,16,No categories identified.,CF - Contribution flow,No categories identified.,BW - Build local workspace,JetBrains@resharper-unity.xlsx
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,Jigsaw-Code@outline-client.xlsx
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,Jigsaw-Code@outline-server.xlsx
1,0,1,0,2,4,8,15,No categories identified.,SC - Submit the changes,TC - Talk to the community,No categories identified.,JimBobSquarePants@ImageProcessor.xlsx
2,0,0,0,2,2,14,19,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,JosefPihrt@Roslynator.xlsx
0,0,0,2,0,2,14,17,No categories identified.,No categories identified.,No categories identified.,No categories identified.,JuanitoFatas@fast-ruby.xlsx
1,0,0,1,6,9,27,43,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,JustArchiNET@ArchiSteamFarm.xlsx
2,0,0,5,22,23,5,56,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,KaTeX@KaTeX.xlsx
1,0,2,0,3,4,9,18,No categories identified.,SC - Submit the changes,TC - Talk to the community,No categories identified.,Karumi@Dexter.xlsx
0,0,0,0,0,5,6,10,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,KevinOConnor@klipper.xlsx
0,0,0,0,0,5,3,7,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,Kinto@kinto.xlsx
1,0,0,3,1,7,10,21,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,Kitware@VTK.xlsx
2,0,0,0,4,3,14,22,No categories identified.,No categories identified.,DC - Deal with the code,DC - Deal with the code,Klocman@Bulk-Crap-Uninstaller.xlsx
2,1,1,1,2,9,23,38,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,KnpLabs@snappy.xlsx
2,0,0,0,0,16,9,26,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,Kononnable@typeorm-model-generator.xlsx
10,0,1,0,8,40,22,80,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,LUX-Core@lux.xlsx
1,1,1,0,0,3,13,18,No categories identified.,No categories identified.,SC - Submit the changes,TC - Talk to the community,LWJGL@lwjgl3.xlsx
0,0,0,0,1,3,6,9,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,Laravelium@laravel-sitemap.xlsx
0,0,0,4,2,12,6,23,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,LeaVerou@awesomplete.xlsx
3,0,0,12,3,18,39,74,No categories identified.,No categories identified.,BW - Build local workspace,CF - Contribution flow,Leaflet@Leaflet.xlsx
0,0,0,0,24,7,11,41,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,LeelaChessZero@lc0.xlsx
1,0,0,1,0,3,7,11,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,Linuxbrew@brew.xlsx
2,0,4,0,6,27,59,97,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,LiskHQ@lisk-sdk.xlsx
0,0,0,0,3,3,10,15,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,Live-Charts@Live-Charts.xlsx
0,0,0,0,4,3,14,20,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,LycheeOrg@Lychee-v3.xlsx
3,0,0,2,3,11,17,35,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,MISP@MISP.xlsx
6,0,0,0,0,15,7,27,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,MPOS@php-mpos.xlsx
2,0,0,6,3,10,27,47,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,MahApps@MahApps.Metro.xlsx
0,0,0,0,1,2,5,7,No categories identified.,DC - Deal with the code,SC - Submit the changes,No categories identified.,ManageIQ@manageiq.xlsx
0,0,0,0,2,4,5,10,DC - Deal with the code,No categories identified.,SC - Submit the changes,DC - Deal with the code,Marak@faker.js.xlsx
1,0,3,0,0,1,24,28,No categories identified.,No categories identified.,No categories identified.,No categories identified.,MariaDB@server.xlsx
5,0,0,1,3,13,6,27,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,MarimerLLC@csla.xlsx
0,0,0,0,8,3,4,14,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,MaterialDesignInXAML@MaterialDesignInXamlToolkit.xlsx
1,0,2,0,1,5,17,25,No categories identified.,TC - Talk to the community,No categories identified.,CF - Contribution flow,MathewSachin@Captura.xlsx
2,0,0,12,7,17,55,92,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.,Maximus5@ConEmu.xlsx
1,0,0,0,1,13,48,62,No categories identified.,No categories identified.,No categories identified.,No categories identified.,Medicean@VulApps.xlsx
1,0,0,0,2,16,17,35,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,Meituan-Dianping@Logan.xlsx
0,0,0,3,7,0,14,23,No categories identified.,DC - Deal with the code,No categories identified.,No categories identified.,MichMich@MagicMirror.xlsx
3,0,1,0,1,4,5,13,No categories identified.,SC - Submit the changes,No categories identified.,CF - Contribution flow,MichaIng@DietPi.xlsx
0,0,0,7,7,12,24,49,No categories identified.,SC - Submit the changes,BW - Build local workspace,BW - Build local workspace,MichaelGrafnetter@DSInternals.xlsx
1,0,2,8,0,10,46,66,No categories identified.,No categories identified.,No categories identified.,No categories identified.,MicrosoftDocs@live-share.xlsx
6,0,0,3,13,23,14,58,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,MithrilJS@mithril.js.xlsx
0,0,0,2,2,5,10,18,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,MoOx@postcss-cssnext.xlsx
2,0,0,3,1,7,27,39,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,MobSF@Mobile-Security-Framework-MobSF.xlsx
1,1,0,0,0,6,4,11,No categories identified.,No categories identified.,CF - Contribution flow,CT - Choose a task,MobileChromeApps@mobile-chrome-apps.xlsx
4,0,15,0,1,14,13,46,No categories identified.,CF - Contribution flow,TC - Talk to the community,No categories identified.,Morgan-Stanley@hobbes.xlsx
1,0,0,0,0,3,16,19,No categories identified.,No categories identified.,No categories identified.,No categories identified.,MostlyAdequate@mostly-adequate-guide.xlsx
2,0,2,1,1,4,13,22,No categories identified.,No categories identified.,No categories identified.,No categories identified.,Motion-Project@motion.xlsx
4,1,0,0,2,28,19,53,No categories identified.,CF - Contribution flow,SC - Submit the changes,No categories identified.,MovingBlocks@Terasology.xlsx
5,0,1,0,2,8,12,27,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,MrKepzie@Natron.xlsx
3,2,0,3,0,1,2,10,No categories identified.,CF - Contribution flow,No categories identified.,CF - Contribution flow,MvvmCross@MvvmCross.xlsx
8,0,0,2,2,19,10,40,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,MycroftAI@mycroft-core.xlsx
3,0,0,4,5,15,30,56,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,NARKOZ@gitlab.xlsx
2,0,0,2,5,67,42,117,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,NG-ZORRO@ng-zorro-antd.xlsx
1,0,0,2,6,10,21,39,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,NLog@NLog.xlsx
2,0,0,1,11,9,13,35,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,NRules@NRules.xlsx
0,0,0,0,6,23,12,40,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,NVIDIA@DALI.xlsx
4,0,0,2,10,34,15,64,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,NVIDIA@TensorRT.xlsx
0,0,0,0,2,9,3,13,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,NVIDIA@triton-inference-server.xlsx
0,0,0,0,2,18,10,29,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,NVIDIAGameWorks@kaolin.xlsx
8,0,0,3,12,16,6,44,No categories identified.,SC - Submit the changes,DC - Deal with the code,DC - Deal with the code,NancyFx@Nancy.xlsx
0,0,0,1,0,8,6,14,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,NationalSecurityAgency@SIMP.xlsx
5,1,0,1,0,16,18,40,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.,NationalSecurityAgency@ghidra.xlsx
6,1,0,5,5,80,58,154,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,NativeScript@NativeScript.xlsx
6,1,0,5,5,40,29,85,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,NativeScript@nativescript-angular.xlsx
5,0,12,0,2,9,13,40,No categories identified.,TC - Talk to the community,CF - Contribution flow,No categories identified.,NatronGitHub@Natron.xlsx
2,0,0,8,3,6,13,31,No categories identified.,SC - Submit the changes,BW - Build local workspace,DC - Deal with the code,NervJS@taro-ui.xlsx
0,0,0,3,3,6,11,22,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,NervJS@taro.xlsx
1,0,0,0,5,7,18,30,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,NetTopologySuite@NetTopologySuite.xlsx
6,0,0,0,0,5,4,14,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,Netflix-Skunkworks@Scumblr.xlsx
1,0,0,0,2,10,9,21,No categories identified.,DC - Deal with the code,No categories identified.,No categories identified.,Netflix@Hystrix.xlsx
5,0,0,0,1,13,11,29,No categories identified.,CF - Contribution flow,No categories identified.,No categories identified.,Netflix@conductor.xlsx
5,0,0,0,0,4,8,16,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,Netflix@dynomite.xlsx
5,0,0,0,0,5,3,12,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,Netflix@fast_jsonapi.xlsx
3,0,0,10,1,14,7,34,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.,Netflix@pollyjs.xlsx
0,0,0,5,3,7,7,21,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,Netflix@security_monkey.xlsx
1,1,0,0,0,1,2,4,No categories identified.,No categories identified.,CT - Choose a task,SC - Submit the changes,NewEraCracker@LOIC.xlsx
2,0,0,2,1,7,3,14,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,Nickersoft@push.js.xlsx
1,0,0,5,2,8,8,23,No categories identified.,SC - Submit the changes,BW - Build local workspace,No categories identified.,NicolasHug@Surprise.xlsx
0,0,0,2,1,9,17,28,SC - Submit the changes,No categories identified.,No categories identified.,No categories identified.,NodeBB@NodeBB.xlsx
0,0,1,1,0,0,11,12,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,NodeOS@NodeOS.xlsx
2,2,4,0,2,12,24,45,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,NodeRedis@node-redis.xlsx
0,0,0,14,9,11,15,48,No categories identified.,BW - Build local workspace,No categories identified.,DC - Deal with the code,Nozbe@WatermelonDB.xlsx
10,1,0,0,11,7,10,38,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,NuGet@NuGetGallery.xlsx
5,0,0,2,0,9,4,19,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,NullArray@AutoSploit.xlsx
